 20037   -13161.000       23.000
 20038   -22059.000        5.000
 20039   -27276.300        1.800
 20040   -34846.100        0.300
 20041   -35137.500        0.400
 20042   -38546.800        0.400
 20043   -38408.400        0.500
 20044   -41469.100        0.900
 20045   -40812.500        0.900
 20046   -43134.900        2.400
 20047   -42339.700        2.400
 20048   -44215.000        5.000
 20049   -41290.000        5.000
 20050   -39571.000       10.000
 20051   -35890.000       90.000
 20052   -32500.000      500.000
 20053   -27900.000      500.000
 20054   -23600.000      700.000
 20055   -18100.000      700.000
 20056   -13200.000      900.000
 20057    -7100.000     1000.000
 21036    13900.000      500.000
 21037     2800.000      300.000
 21038    -4900.000      300.000
 21039   -14168.000       24.000
 21040   -20526.000        5.000
 21041   -28642.200        0.300
 21042   -32120.900        0.400
 21043   -36187.600        1.900
 21044   -37815.800        1.800
 21045   -41069.300        1.100
 21046   -41758.600        1.100
 21047   -44331.600        2.100
 21048   -44493.000        6.000
 21049   -46552.000        4.000
 21050   -44538.000       16.000
 21051   -43219.000       21.000
 21052   -40380.000      240.000
 21053   -38000.000      300.000
 21054   -34500.000      500.000
 21055   -30300.000     1100.000
 21056   -25500.000      700.000
 21057   -21400.000      700.000
 21058   -15800.000      800.000
 21059   -11100.000      900.000
 22038     9100.000      300.000
 22039     1230.000      110.000
 22040    -8850.000      160.000
 22041   -15710.000       40.000
 22042   -25121.000        6.000
 22043   -29320.000        7.000
 22044   -37548.300        0.800
 22045   -39006.900        1.200
 22046   -44125.300        1.200
 22047   -44931.700        1.000
 22048   -48487.000        1.000
 22049   -48558.000        1.000
 22050   -51425.800        1.000
 22051   -49726.900        1.400
 22052   -49464.000        8.000
 22053   -46820.000      100.000
 22054   -45760.000      240.000
 22055   -41810.000      250.000
 22056   -39100.000      300.000
 22057   -34600.000     1000.000
 22058   -31600.000      700.000
 22059   -26100.000      700.000
 22060   -22700.000      800.000
 22061   -16800.000      900.000
 23040    10300.000      500.000
 23041     -200.000        3.000
 23042    -8170.000      200.000
 23043   -18020.000      240.000
 23044   -23850.000       90.000
 23045   -31874.000       17.000
 23046   -37073.900        1.500
 23047   -42003.900        1.200
 23048   -44475.000        3.000
 23049   -47956.200        1.300
 23050   -49217.500        1.300
 23051   -52197.500        1.300
 23052   -51437.400        1.400
 23053   -51845.000        4.000
 23054   -49887.000       15.000
 23055   -49150.000      100.000
 23056   -46240.000      250.000
 23057   -44400.000      300.000
 23058   -40400.000      300.000
 23059   -37900.000      400.000
 23060   -33100.000      600.000
 23061   -30400.000      700.000
 23062   -25000.000      700.000
 23063   -21700.000      900.000
 24042     6000.000      300.000
 24043    -2140.000       90.000
 24044   -13540.000      130.000
 24045   -19410.000      110.000
 24046   -29471.000       20.000
 24047   -34552.000       14.000
 24048   -42815.000        8.000
 24049   -45325.000        3.000
 24050   -50254.500        1.400
 24051   -51444.800        1.400
 24052   -55412.800        1.400
 24053   -55280.600        1.400
 24054   -56928.300        1.400
 24055   -55103.300        1.500
 24056   -55289.000       10.000
 24057   -52390.000      100.000
 24058   -51930.000      250.000
 24059   -47900.000      300.000
 24060   -46800.000      300.000
 24061   -42800.000      300.000
 24062   -41200.000      400.000
 24063   -35500.000      700.000
 24064   -33300.000      700.000
 24065   -27600.000      900.000
 25044     6400.000      500.000
 25045    -5100.000      300.000
 25046   -12370.000      120.000
 25047   -22260.000      160.000
 25048   -29000.000       80.000
 25049   -37611.000       24.000
 25050   -42621.500        1.400
 25051   -48237.000        1.400
 25052   -50701.100        2.400
 25053   -54683.600        1.500
 25054   -55551.300        1.800
 25055   -57706.400        1.400
 25056   -56905.600        1.400
 25057   -57485.000        4.000
 25058   -55900.000       30.000
 25059   -55470.000       30.000
 25060   -52900.000      300.000
 25061   -51700.000      300.000
 25062   -48500.000      300.000
 25063   -46800.000      300.000
 25064   -43100.000      400.000
 25065   -40900.000      600.000
 25066   -36500.000      700.000
 25067   -33700.000      800.000
 26045    13600.000      400.000
 26046      800.000        4.000
 26047    -6600.000      300.000
 26048   -18110.000      110.000
 26049   -24580.000      160.000
 26050   -34470.000       60.000
